epoch,loss,mAP_50,mAP_50_95
1,0.5506346959334153,0.2381049394607544,0.06875982880592346
2,0.4699525316046853,0.34357571601867676,0.10738818347454071
3,0.4527192836643284,0.3905254900455475,0.13336654007434845
4,0.4344448149204254,0.49657610058784485,0.17434635758399963
5,0.42652810154817045,0.517909586429596,0.17706984281539917
6,0.42998496207416564,0.5354551672935486,0.18792888522148132
7,0.42290217690488213,0.5454992055892944,0.17598100006580353
8,0.4124468172717298,0.5719494819641113,0.2017683982849121
9,0.4137480900837825,0.5994796752929688,0.2283567637205124
10,0.4084208928621732,0.5324211120605469,0.18336090445518494
11,0.383588654617978,0.6500920653343201,0.26061776280403137
12,0.37790655529397166,0.6672297120094299,0.26539868116378784
13,0.37333133918607336,0.6500214338302612,0.25876522064208984
14,0.36559027598963845,0.6690948605537415,0.2613210678100586
15,0.36663117406205237,0.6692607998847961,0.27116575837135315
16,0.36670308923109984,0.6603514552116394,0.26538729667663574
17,0.373837415733908,0.6900983452796936,0.2743978798389435
18,0.3692500642222217,0.6707631349563599,0.27285873889923096
19,0.3721777371361724,0.6903513073921204,0.281647264957428
20,0.36885077983905107,0.6937735080718994,0.28324708342552185
21,0.36227211254274744,0.6920374631881714,0.2823573648929596
22,0.3627676332098806,0.6888142228126526,0.28391793370246887
23,0.36181552529844463,0.6925155520439148,0.2829919457435608
24,0.35958658260667425,0.6897973418235779,0.27922293543815613
25,0.3633601684600879,0.6926375031471252,0.28272655606269836
26,0.3627153665591509,0.6878701448440552,0.2828948497772217
27,0.35889276339967024,0.6910409331321716,0.28390294313430786
28,0.3599901348352432,0.6903207898139954,0.28423750400543213
29,0.36107528986584425,0.687166154384613,0.28137773275375366
30,0.3581549329125983,0.6902561187744141,0.28433385491371155
