epoch,loss,mAP_50,mAP_50_95
1,0.21490565700154018,0.015203624963760376,0.003384761279448867
2,0.127695241672361,0.07982373237609863,0.022650282829999924
3,0.12456697340194996,0.12152764201164246,0.03802730515599251
4,0.12512400943754065,0.17194639146327972,0.05612920969724655
5,0.12099512787456186,0.22952470183372498,0.07660703361034393
6,0.12145412439464504,0.25869008898735046,0.08692670613527298
7,0.12130865531089978,0.2647009491920471,0.08960431069135666
8,0.1208089969606481,0.27468380331993103,0.09282141923904419
9,0.12138168539246942,0.2842322885990143,0.10130825638771057
10,0.11996210207287063,0.3105260729789734,0.10608882457017899
11,0.12011910752098784,0.31204983592033386,0.10805072635412216
12,0.12042591427890663,0.30699771642684937,0.10843124240636826
13,0.11921447248030932,0.3103635609149933,0.10873882472515106
14,0.12013751949764724,0.32361456751823425,0.10828093439340591
15,0.1199299953559525,0.3182165026664734,0.10961208492517471
16,0.11935484460276416,0.31533852219581604,0.11055570095777512
17,0.12014933911144224,0.3150666654109955,0.10821106284856796
18,0.11928946817787285,0.3146061301231384,0.10719260573387146
19,0.1208788056531523,0.3187589943408966,0.1107853576540947
20,0.12001999932476598,0.3243913948535919,0.11066001653671265
21,0.11958855244084302,0.3213202655315399,0.10902359336614609
22,0.12036054524091575,0.31806662678718567,0.11034252494573593
23,0.12027281771103542,0.3142242133617401,0.10620912164449692
24,0.11923790461996682,0.3208543062210083,0.10898642987012863
25,0.11987796272986974,0.3199663460254669,0.10785752534866333
26,0.11914587339274904,0.31661510467529297,0.10921495407819748
27,0.12013974034378672,0.3158554434776306,0.10657720267772675
28,0.11931488586541934,0.3145679831504822,0.10743921995162964
29,0.12128625606369768,0.31365323066711426,0.10972931981086731
30,0.11930745980169019,0.31957605481147766,0.10929297655820847
