epoch,loss,mAP_50,mAP_50_95
1,0.2581219405699999,0.13904936611652374,0.036327727138996124
2,0.20188180287169594,0.2599535286426544,0.07287228107452393
3,0.19440113288215083,0.40973007678985596,0.13038697838783264
4,0.18484477915315548,0.4386558532714844,0.14142616093158722
5,0.18013622395248494,0.4553697407245636,0.1565258651971817
6,0.17435915296913213,0.5133644342422485,0.16260020434856415
7,0.17054350387591583,0.5405548810958862,0.1991194784641266
8,0.1681743004383185,0.574794590473175,0.1903754621744156
9,0.16426506434750354,0.5678277611732483,0.18927313387393951
10,0.16289255360507557,0.545821487903595,0.18639333546161652
11,0.15635523352867517,0.6216309070587158,0.23226229846477509
12,0.1537659806318772,0.6439269185066223,0.23919777572155
13,0.15149486867281106,0.6464546322822571,0.23971417546272278
14,0.15099418424388283,0.6534205675125122,0.253877192735672
15,0.14766938640521124,0.6327918767929077,0.23610931634902954
16,0.14723156328894135,0.6548522710800171,0.24798694252967834
17,0.14675725830925834,0.6661856174468994,0.25701314210891724
18,0.14666026735152954,0.649506151676178,0.2512339949607849
19,0.1467772043413586,0.6591354608535767,0.2525785267353058
20,0.14567038690687245,0.6630047559738159,0.2556484639644623
21,0.14156689501216269,0.6701877117156982,0.26600492000579834
22,0.1409050810795564,0.6702555418014526,0.2700487971305847
23,0.1414965209670556,0.6758414506912231,0.26791733503341675
24,0.14114430011847082,0.6775718331336975,0.26778024435043335
25,0.14128841179558355,0.681067168712616,0.2681474983692169
26,0.14160673568646112,0.6797663569450378,0.2686166763305664
27,0.1397771062886613,0.6738170981407166,0.26382213830947876
28,0.14199643028088105,0.6775768399238586,0.26758822798728943
29,0.14000385471134105,0.6753569841384888,0.2697277069091797
30,0.14140871778512612,0.6765022873878479,0.26788586378097534
