epoch,loss,mAP_50,mAP_50_95
1,0.20746831073720232,0.0004624666180461645,9.80790428002365e-05
2,0.13328302307770803,0.009542448446154594,0.0018220803467556834
3,0.1284322624659946,0.07686592638492584,0.017768533900380135
4,0.13162000903971174,0.14471536874771118,0.03638128191232681
5,0.13465042705209845,0.17407968640327454,0.0468057282269001
6,0.13076226088481072,0.24271416664123535,0.0675014778971672
7,0.1299803279276587,0.2450963705778122,0.0799495130777359
8,0.1283056604811269,0.24701686203479767,0.07681204378604889
9,0.12609344720840454,0.32900556921958923,0.10635130852460861
10,0.12701339191860622,0.38456711173057556,0.13078901171684265
11,0.1192820224369693,0.44776418805122375,0.15405675768852234
12,0.11932915901271705,0.4653126895427704,0.16189207136631012
13,0.1182830545764703,0.47359728813171387,0.16440953314304352
14,0.11877516803578433,0.4679359495639801,0.16399076581001282
15,0.11659184391172524,0.4979523718357086,0.17280589044094086
16,0.11508369000039549,0.4843704104423523,0.16494731605052948
17,0.11542675803359757,0.49286454916000366,0.17292799055576324
18,0.11517303112225655,0.5029180645942688,0.17820477485656738
19,0.11409688664552493,0.5096216201782227,0.18170711398124695
20,0.11474238546230854,0.5061265230178833,0.1720338612794876
21,0.11343259370734549,0.5292029976844788,0.18933416903018951
22,0.11117634374616492,0.5338957905769348,0.19005687534809113
23,0.11109162510460259,0.5327996611595154,0.19238917529582977
24,0.11125700799827902,0.5365462303161621,0.19172333180904388
25,0.11129045964051516,0.5331553816795349,0.1907702535390854
26,0.11174517825373217,0.533625602722168,0.19184610247612
27,0.11170135884203462,0.5363501310348511,0.1916264295578003
28,0.110516510075993,0.5378226041793823,0.1874980926513672
29,0.11028820492772974,0.5402570366859436,0.19346505403518677
30,0.10987090357603171,0.5398464798927307,0.19343584775924683
